Property Address
829 13TH ST
829 GRANT PL
830 12TH ST
830 13TH ST
830 14TH ST
830 15TH ST
830 15TH ST
830 17TH ST
830 8TH ST
830 GRANT PL
831 17TH ST
831 19TH ST
832 10TH ST
832 11TH ST
832 17TH ST
832 LINCOLN PL
833 10TH ST
833 10TH ST
833 18TH ST
833 LINCOLN PL
834 13TH ST
834 19TH ST
834 7TH ST
834 AURORA AVE
835 11TH ST
835 12TH ST
835 16TH ST
835 17TH ST
835 18TH ST
835 7TH ST
835 8TH ST
835 9TH ST
835 CIRCLE DR
835 GRANT PL
836 10TH ST
836 15TH ST
836 9TH ST
836 GRANT PL
836 UNIVERSITY AVE
837 15TH ST
837 20TH ST
838 14TH ST
838 19TH ST
838 LINCOLN PL
838 UNIVERSITY AVE
839 13TH ST
839 CIRCLE DR
839 CIRCLE DR
839 LINCOLN PL
840 11TH ST
840 12TH ST
840 16TH ST
840 17TH ST
840 6TH ST
840 8TH ST
840 CASCADE AVE
840 FLAGSTAFF RD
840 PARK LN
840 WILLOW BROOK RD
841 20TH ST
841 9TH ST
841 EUCLID AVE
842 13TH ST
842 16TH ST
842 GRANT PL
842 UNIVERSITY AVE
843 17TH ST
844 12TH ST
844 14TH ST
844 14TH ST
844 15TH ST
844 19TH ST
845 11TH ST
845 12TH ST
845 13TH ST
845 14TH ST
845 14TH ST
845 15TH ST
845 18TH ST
845 19TH ST
845 20TH ST
845 5TH ST
845 6TH ST
845 8TH ST
845 CIRCLE DR
845 GRANT PL
845 LINCOLN PL
845 PARK LN
846 16TH ST
848 10TH ST
848 17TH ST
848 18TH ST
849 16TH ST
849 17TH ST
849 9TH ST
850 12TH ST
850 13TH ST
850 14TH ST
850 19TH ST
850 6TH ST
850 8TH ST
850 9TH ST
850 9TH ST
850 CIRCLE DR
850 WILLOW BROOK RD
851 14TH ST
851 14TH ST
851 15TH ST
851 15TH ST
851 16TH ST
851 16TH ST
851 17TH ST
851 18TH ST
851 20TH ST
851 7TH ST
851 EUCLID AVE
852 11TH ST
853 8TH ST
854 15TH ST
854 18TH ST
854 7TH ST
855 12TH ST
855 13TH ST
855 15TH ST
855 CIRCLE DR
855 GRANT PL
855 GRANT PL
855 LINCOLN PL
855 PARK LN
856 10TH ST
857 19TH ST
857 8TH ST
858 13TH ST
858 18TH ST
858 9TH ST
859 16TH ST
859 18TH ST
859 20TH ST
860 12TH ST
860 14TH ST
860 17TH ST
860 18TH ST
860 19TH ST
860 6TH ST
860 8TH ST
860 AURORA AVE
860 CIRCLE DR
860 GRANT PL
860 UNIVERSITY AVE
860 WILLOW BROOK RD
861 11TH ST
861 13TH ST
861 13TH ST
861 17TH ST
861 19TH ST
861 8TH ST
861 9TH ST
861 GRANT PL
862 15TH ST
862 19TH ST
863 14TH ST
863 19TH ST
863 CIRCLE DR
864 14TH ST
864 18TH ST
865 12TH ST
865 13TH ST
865 15TH ST
865 7TH ST
865 8TH ST
865 CIRCLE DR
865 LINCOLN PL
865 WILLOW BROOK RD
866 13TH ST
866 9TH ST
867 18TH ST
867 20TH ST
868 17TH ST
868 6TH ST
868 7TH ST
869 11TH ST
869 16TH ST
869 9TH ST
869 9TH ST
869 GRANT PL
870 12TH ST
870 15TH ST
870 19TH ST
870 8TH ST
870 GRANT PL
870 GRANT PL
870 UNIVERSITY AVE
870 WILLOW BROOK RD
873 19TH ST
873 8TH ST
873 9TH ST
873 LINCOLN PL
874 9TH ST
874 UNIVERSITY AVE
875 11TH ST
875 14TH ST
875 15TH ST
875 15TH ST
875 16TH ST
875 16TH ST
875 18TH ST
875 20TH ST
875 7TH ST
875 9TH ST
875 AURORA AVE
875 CASCADE AVE
875 CIRCLE DR
875 GRANT PL
876 15TH ST
877 11TH ST
877 13TH ST
877 18TH ST
877 LINCOLN PL
877 LINCOLN PL
878 17TH ST
878 GRANT PL
879 19TH ST
879 7TH ST
880 18TH ST
880 18TH ST
880 18TH ST
880 19TH ST
880 6TH ST
880 WILLOW BROOK RD
881 14TH ST
881 19TH ST
882 UNIVERSITY AVE
883 13TH ST
883 18TH ST
883 GRANT PL
884 GRANT PL
885 19TH ST
885 9TH ST
885 CIRCLE DR
885 CIRCLE DR
885 LINCOLN PL
885 WILLOW BROOK RD
888 13TH ST
888 13TH ST
888 15TH ST
888 17TH ST
888 18TH ST
888 7TH ST
888 7TH ST
888 8TH ST
889 14TH ST
889 15TH ST
890 11TH ST
890 11TH ST
890 18TH ST
890 9TH ST
890 WILLOW BROOK RD
891 12TH ST
891 16TH ST
891 18TH ST
895 11TH ST
895 AURORA AVE
896 17TH ST
896 18TH ST
896 18TH ST
897 15TH ST
898 14TH ST
900 13TH ST
900 6TH ST
900 7TH ST
900 LINCOLN PL
901 CASCADE AVE
901 GILBERT ST
901 GILBERT ST
902 18TH ST
902 7TH ST
902 9TH ST
902 9TH ST
902 GRANT PL
902 GRANT PL
903 16TH ST
903 18TH ST
903 18TH ST
903 18TH ST
903 18TH ST
903 18TH ST
903 18TH ST
903 18TH ST
903 18TH ST
903 18TH ST
903 18TH ST
903 18TH ST
903 18TH ST
903 18TH ST
903 18TH ST
903 8TH ST
904 10TH ST
904 14TH ST
904 15TH ST
904 7TH ST
904 8TH ST
904 COLLEGE AVE
904 UNIVERSITY AVE
905 13TH ST
905 15TH ST
905 EUCLID AVE
905 LINCOLN PL
905 PENNSYLVANIA AVE
905 PLEASANT ST
906 7TH ST
906 9TH ST
907 11TH ST
907 12TH ST
907 13TH ST
907 13TH ST
907 18TH ST
907 7TH ST
907 7TH ST
908 10TH ST
908 18TH ST
908 LINCOLN PL
908 UNIVERSITY AVE
908 UNIVERSITY AVE
909 14TH ST
909 14TH ST
909 BASELINE RD
910 7TH ST
910 PLEASANT ST
911 11TH ST
911 16TH ST
911 17TH ST
911 9TH ST
911 9TH ST
911 BROADWAY
911 GRANT PL
911 LINCOLN PL
911 PENNSYLVANIA AVE
911 PLEASANT ST
912 15TH ST
912 9TH ST
912 GRANT PL
912 LINCOLN PL
912 PLEASANT ST
914 13TH ST
915 10TH ST
915 15TH ST
915 5TH ST
916 11TH ST
916 12TH ST
916 12TH ST
916 14TH ST
916 14TH ST
917 8TH ST
917 BASELINE RD
917 BASELINE RD
917 GRANT PL
917 PLEASANT ST
918 13TH ST
918 PLEASANT ST
918 UNIVERSITY AVE
919 12TH ST
919 BROADWAY
919 BROADWAY
919 BROADWAY
919 LINCOLN PL
919 PENNSYLVANIA AVE
920 10TH ST
920 14TH ST
920 15TH ST
920 8TH ST
920 GRANT PL
920 UNIVERSITY AVE
921 11TH ST
921 13TH ST
921 15TH ST
921 15TH ST
921 5TH ST
921 5TH ST
921 7TH ST
921 9TH ST
921 PENNSYLVANIA AVE
922 12TH ST
923 7TH ST
923 7TH ST
923 BROADWAY
924 8TH ST
925 16TH ST
925 GILBERT ST
925 GRANT PL
925 PENNSYLVANIA AVE
925 PENNSYLVANIA AVE
925 PENNSYLVANIA AVE
925 PENNSYLVANIA AVE
926 13TH ST
926 PLEASANT ST
927 10TH ST
927 12TH ST
927 7TH ST
927 8TH ST
928 10TH ST
928 7TH ST
928 9TH ST
928 UNIVERSITY AVE
929 11TH ST
929 13TH ST
929 15TH ST
930 11TH ST
930 14TH ST
930 15TH ST
930 GRANT PL
930 LINCOLN PL
931 LINCOLN PL
932 14TH ST
933 14TH ST
933 5TH ST
933 PENNSYLVANIA AVE
934 14TH ST
934 8TH ST
934 8TH ST
935 10TH ST
935 11TH ST
935 11TH ST
935 12TH ST
935 16TH ST
935 9TH ST
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 BROADWAY
935 LINCOLN PL
935 PLEASANT ST
936 13TH ST
936 15TH ST
936 GRANT PL
936 GRANT PL
936 PLEASANT ST
936 UNIVERSITY AVE
937 15TH ST
938 9TH ST
938 LINCOLN PL
938 UNIVERSITY AVE
939 CASCADE AVE
940 10TH ST
940 11TH ST
940 14TH ST
940 15TH ST
940 EUCLID AVE
940 EUCLID AVE
940 PENNSYLVANIA **
941 15TH ST
941 8TH ST
941 GRANT PL
942 7TH ST
942 9TH ST
942 9TH ST
943 10TH ST
943 BROADWAY
944 10TH ST
944 13TH ST
944 8TH ST
944 GRANT PL
944 GRANT PL
944 LINCOLN PL
944 LINCOLN PL
945 11TH ST
945 12TH ST
945 14TH ST
945 9TH ST
945 LINCOLN PL
946 GILBERT ST
946 GILBERT ST
946 UNIVERSITY AVE
947 5TH ST
949 8TH ST
949 BROADWAY
950 15TH ST
950 6TH ST
950 9TH ST
950 GILBERT ST
950 UNIVERSITY AVE
951 15TH ST
951 5TH ST
951 9TH ST
951 9TH ST
951 COLLEGE AVE
951 GRANT PL
951 LINCOLN PL
951 PENNSYLVANIA AVE
952 14TH ST
952 UNIVERSITY AVE
953 11TH ST
953 11TH ST
953 GRANT PL
953 PLEASANT ST
954 10TH ST
954 11TH ST
954 7TH ST
954 7TH ST
954 7TH ST
954 8TH ST
954 LINCOLN PL
954 UNIVERSITY AVE
955 10TH ST
955 12TH ST
955 16TH ST
955 17TH ST
955 5TH ST
955 8TH ST
955 BROADWAY
955 BROADWAY
955 CASCADE AVE
955 COLLEGE AVE
955 PENNSYLVANIA AVE
955 PLEASANT ST
956 13TH ST
956 16TH ST
956 GRANT PL
956 UNIVERSITY AVE
957 PLEASANT ST
958 PLEASANT ST
959 9TH ST
959 GRANT PL
960 10TH ST
960 13TH ST
960 14TH ST
960 15TH ST
960 6TH ST
960 7TH ST
960 8TH ST
960 LINCOLN PL
960 UNIVERSITY AVE
961 10TH ST
961 10TH ST
961 11TH ST
961 15TH ST
961 16TH ST
961 16TH ST
961 16TH ST
961 16TH ST
961 16TH ST
961 16TH ST
961 16TH ST
961 16TH ST
961 6TH ST
961 LINCOLN PL
961 PENNSYLVANIA AVE
961 PLEASANT ST
962 11TH ST
962 9TH ST
962 PLEASANT ST
963 7TH ST
963 9TH ST
963 PLEASANT ST
964 7TH ST
964 GRANT PL
965 10TH ST
965 10TH ST
965 11TH ST
965 8TH ST
965 BROADWAY
965 CASCADE AVE
965 PLEASANT ST
966 10TH ST
967 14TH ST
968 13TH ST
968 8TH ST
969 10TH ST
969 12TH ST
969 15TH ST
970 11TH ST
970 13TH ST
970 9TH ST
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 AURORA AVE
970 GRANT PL
970 LINCOLN PL
971 6TH ST
971 LINCOLN PL
971 PLEASANT ST
972 14TH ST
972 PLEASANT ST
973 14TH ST
973 5TH ST
973 GILBERT ST
973 GILBERT ST
973 GRANT PL
975 15TH ST
975 8TH ST
975 PLEASANT ST
976 10TH ST
976 13TH ST
976 PLEASANT ST
976 UNIVERSITY AVE
977 7TH ST
977 9TH ST
978 GRANT PL
980 10TH ST
980 10TH ST
980 11TH ST
980 6TH ST
980 9TH ST
980 COLLEGE AVE
980 LINCOLN PL
980 PLEASANT ST
980 UNIVERSITY AVE
981 11TH ST
981 11TH ST
982 GRANT PL
983 14TH ST
983 PENNSYLVANIA AVE
984 13TH ST
985 10TH ST
985 16TH ST
985 16TH ST
985 16TH ST
985 7TH ST
985 CASCADE AVE
985 GILBERT ST
985 GILBERT ST
985 PLEASANT ST
987 15TH ST
989 GRANT PL
990 14TH ST
990 7TH ST
990 LINCOLN PL
990 ROSE HILL DR
994 14TH ST
995 REGENT DR
997 6TH ST
998 6TH ST
999 8TH ST
999 AURORA AVE
