ReportNumber,Date,Section,Description,Address,Person_Charged
2024-CIT-00002444,2024-07-24,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1035 GRANDVIEW AVE,
2406694,2024-07-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,705 38TH ST,
2406526,2024-07-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4810 KINGS RIDGE BLVD,Yes
2406504,2024-07-04,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,2453 BROADWAY,
2406068,2024-06-24,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3375 34TH ST,Yes
2406047,2024-06-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1105 LINCOLN PL,Yes
2405999,2024-06-21,Section: 5-9-8,UNREASONABLE NOISE - PROHIBITED ANY,4820 MEREDITH WAY,
2405980,2024-06-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3480 HAYDEN PL,Yes
2024-CIT-00001794,2024-06-10,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,800 28TH ST,
2405546,2024-06-09,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,901 S S TERRACE CIR,Yes
2405564,2024-06-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2900 EAST AURORA AVE,Yes
2405501,2024-06-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5640 ARAPAHOE AVE,Yes
2405413,2024-06-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4530 MARTIN DR,Yes
2405272,2024-06-02,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,608 SPRUCE ST,Yes
2501468,2024-06-01,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,3250 ONEAL CIR,
2405120,2024-05-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1843 22ND ST,Yes
2405111,2024-05-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2502 VINE PL,Yes
2405102,2024-05-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4818 W W MOORHEAD CIR,Yes
2405030,2024-05-24,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3003 5TH ST,
2405027,2024-05-24,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,1895 ALPINE AVE,Yes
2404968,2024-05-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3565 28TH ST,Yes
2404952,2024-05-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2900 E E AURORA AVE,Yes
2404872,2024-05-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2810 6TH ST,Yes
2404871,2024-05-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1015 ROSE HILL DR,Yes
2404828,2024-05-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,280 IROQUOIS DR,Yes
2405336,2024-05-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3135 25TH ST,Yes
2404779,2024-05-18,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,715 S S 42ND ST,Yes
2404670,2024-05-15,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,4527 8TH ST,
2404784,2024-05-14,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5875 ORCHARD CREEK LN,Yes
2404523,2024-05-11,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1614 16TH ST,Yes
2404477,2024-05-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2037 WALNUT ST,Yes
2404993,2024-05-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3595 CLOVERLEAF DR,Yes
2404232,2024-05-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,29TH ST & LASHLEY LN,Yes
2404208,2024-05-03,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,2820 29TH ST,
2404193,2024-05-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4500 19TH ST,Yes
2404095,2024-05-01,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4990 MEREDITH WAY,Yes
2403922,2024-04-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2683 MAPLETON AVE,Yes
2403910,2024-04-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1440 Pine St,Yes
2403883,2024-04-25,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2800 6TH ST,Yes
2403843,2024-04-24,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,280 32ND ST,Yes
2403753,2024-04-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4333 VINEYARD LN,Yes
2403555,2024-04-15,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3075 PEARL PKWY,Yes
2403496,2024-04-14,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2807 SUNDOWN LN,Yes
2403461,2024-04-13,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,265 29TH ST,
2403469,2024-04-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1225 ALBION WAY,Yes
2403355,2024-04-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2745 28TH ST,Yes
2403317,2024-04-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3595 CLOVERLEAF DR,Yes
2403600,2024-04-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2702 WINDING TRAIL DR,Yes
2403236,2024-04-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2642 SHERWOOD CIR,Yes
2402982,2024-03-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3004 WASHINGTON ST,Yes
2404737,2024-03-28,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,4020 CADDO PKWY,
2402977,2024-03-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,415 S S 38TH ST,Yes
2402907,2024-03-27,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,605 WALDEN CIR,Yes
2402688,2024-03-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2727 FOLSOM ST,Yes
2402257,2024-03-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,615 WALDEN CIR,Yes
2402192,2024-03-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5620 ARAPAHOE AVE,Yes
2402041,2024-03-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2510 HAWTHORN AVE,Yes
2401977,2024-02-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1120 FAIRFIELD DR,Yes
2401631,2024-02-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2950 BIXBY AVE,Yes
2401498,2024-02-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1315 CASCADE AVE,Yes
2401409,2024-02-14,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,4624 GORDON DR,Yes
2401067,2024-02-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3132 5TH ST,
2400966,2024-01-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,505 MANHATTAN DR,Yes
2400699,2024-01-25,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,4940 MEREDITH WAY,
2400214,2024-01-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3860 CARLOCK DR,Yes
2400157,2024-01-06,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2820 29TH ST,
2400063,2024-01-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,O'NEAL PKWY & 30TH ST,Yes
2313043,2023-12-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4527 8TH ST,Yes
2313014,2023-12-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5361 HOLMES PL,Yes
2312983,2023-12-27,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3091 29TH ST,Yes
2023-CIT-00001945,2023-12-26,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,800 CHERRY AVE,Yes
2023-CIT-00001931,2023-12-26,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,CANYON BLVD/11TH ST,Yes
2312950,2023-12-26,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4172 WESTCLIFFE CT,Yes
2312910,2023-12-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,755 S S 45TH ST,Yes
2312847,2023-12-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1700 LOMBARDY DR,Yes
2312804,2023-12-20,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,1289 AIKINS WAY,Yes
2312749,2023-12-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1035 GRANDVIEW AVE,Yes
2312584,2023-12-14,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1515 10TH ST,Yes
2023-CIT-00001616,2023-12-04,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,1900 28TH ST,Yes
2312126,2023-12-01,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2037 WALNUT ST,Yes
2311839,2023-11-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1820 GROVE ST,Yes
2311812,2023-11-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1850 IRIS AVE,Yes
2311789,2023-11-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2820 29TH ST,Yes
2311754,2023-11-18,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5366 GALLATIN PL,Yes
2311725,2023-11-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2635 ILIFF ST,Yes
2023-CIT-00001265,2023-11-13,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,BROADWAY/PENNSYLVANIA AVE,Yes
2311545,2023-11-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3830  Broadway St ,Yes
2311475,2023-11-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3370 BERKLEY CT,Yes
2311468,2023-11-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1191 13TH ST,Yes
2311423,2023-11-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1225 ALBION WAY,Yes
2311426,2023-11-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4848 CURIE CT,Yes
2311393,2023-11-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,695 MANHATTAN PL,Yes
2023-CIT-00001123,2023-11-07,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,28TH ST/PEARL ST,Yes
2311341,2023-11-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4500 19th St,Yes
2311329,2023-11-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4950 MEREDITH WAY,Yes
2311333,2023-11-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3313 MADISON AVE,Yes
2311299,2023-11-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3970 BROADWAY,Yes
2311604,2023-11-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,966 GRANDVIEW AVE,Yes
2311213,2023-11-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4133 AMBER ST,Yes
2311168,2023-11-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1521 11TH ST,Yes
2311174,2023-11-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,315 29TH ST,Yes
2023-CIT-00000988,2023-10-31,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,TABLE MESA DR/S BROADWAY,Yes
2310943,2023-10-28,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,1146 12TH ST,
2310935,2023-10-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,555 YUMA CIR,Yes
2310845,2023-10-26,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1127 12TH ST,Yes
2310705,2023-10-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1080 13TH ST,Yes
2310525,2023-10-18,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,1139 12TH ST,
2023-CIT-00000871,2023-10-17,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,30TH ST/EAGLE WAY,Yes
2310452,2023-10-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,837 20TH ST,Yes
2310412,2023-10-14,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,2342 FOLSOM ST,
2310354,2023-10-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4840 TWIN LAKES RD,Yes
2310352,2023-10-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2165 TABLE MESA DR,Yes
2310299,2023-10-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2962 EAGLE WAY,Yes
2310199,2023-10-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,635 MEADOWBROOK DR,Yes
2311371,2023-10-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1955 30TH ST,Yes
2310049,2023-10-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3781 PAONIA ST,Yes
2023-CIT-00000696,2023-10-02,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,955 GRANDVIEW AVE,Yes
2309872,2023-09-30,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,2740 4TH ST,
2309859,2023-09-30,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,875 INCA PKWY,Yes
2309825,2023-09-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,155 30TH ST,Yes
2309794,2023-09-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1145 GEORGETOWN RD,Yes
2309796,2023-09-27,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4169 LONETREE CT,Yes
2309656,2023-09-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,755 ARAPAHOE AVE,Yes
2309543,2023-09-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3190 EAST AURORA AVE,Yes
2309509,2023-09-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2037 WALNUT ST,Yes
2309396,2023-09-18,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3830  Broadway St ,Yes
2309373,2023-09-17,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3370 BERKLEY CT,Yes
2309338,2023-09-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1225 ALBION WAY,
2309274,2023-09-15,Section: 18-9-106(1)(C),DISORDERLY CONDUCT-UNREASONABLE NOISE,1191 13TH ST,Yes
2309137,2023-09-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,695 MANHATTAN PL,Yes
2309098,2023-09-11,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4848 CURIE CT,Yes
2309192,2023-09-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4950 MEREDITH WAY,Yes
2308983,2023-09-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3313 MADISON AVE,Yes
2308980,2023-09-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4500 19th St,Yes
2308830,2023-09-04,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,3970 BROADWAY,Yes
2308777,2023-09-03,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,966 GRANDVIEW AVE,
2308748,2023-09-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4133 AMBER ST,Yes
2308761,2023-08-31,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,315 29TH ST,Yes
2308615,2023-08-31,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1521 11TH ST,
2308364,2023-08-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,555 YUMA CIR,Yes
2308195,2023-08-23,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1146 12TH ST,
2308152,2023-08-22,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1080 13TH ST,Yes
2308150,2023-08-22,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1127 12TH ST,
2308149,2023-08-21,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1139 12TH ST,Yes
2308083,2023-08-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,837 20TH ST,Yes
2307928,2023-08-16,Section: 5-9-7,UNREASONABLE NOISE - Ã¯Â¿Â½9 PM TO 7 AM,2165 TABLE MESA DR,
2307924,2023-08-16,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,2342 FOLSOM ST,Yes
2307888,2023-08-14,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4840 TWIN LAKES RD,Yes
2307832,2023-08-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2962 EAGLE WAY,Yes
2307848,2023-08-11,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,635 MEADOWBROOK DR,Yes
2307769,2023-08-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1955 30TH ST,Yes
2307768,2023-08-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,875 INCA PKWY,Yes
2307706,2023-08-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3781 PAONIA ST,Yes
2307605,2023-08-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2740 4TH ST,Yes
2307608,2023-08-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,155 30TH ST,Yes
2307558,2023-08-06,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,4927 THUNDERBIRD CIR,Yes
2307553,2023-08-06,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2725 28TH ST,Yes
2307549,2023-08-06,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2725 28TH ST,Yes
2307542,2023-08-06,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2655 28TH ST,Yes
2307264,2023-07-30,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,4500 19th St,Yes
2307374,2023-07-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4169 LONETREE CT,Yes
2307256,2023-07-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1145 GEORGETOWN RD,Yes
2307036,2023-07-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,755 ARAPAHOE AVE,Yes
2306959,2023-07-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3190 E AURORA AVE,Yes
2306959,2023-07-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3190 EAST AURORA AVE,Yes
2306933,2023-07-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1650 HAWTHORN AVE,Yes
2306880,2023-07-19,Section: 5-9-6(2),UNREASONABLE NOISE 7 A.M. THROUGH 11 P.M,3970 BROADWAY,
2371828,2023-07-16,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,812 20TH ST,
2306723,2023-07-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1840 REDWOOD AVE,Yes
2371828,2023-07-16,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,812 20TH ST,
2306485,2023-07-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1001 LARAMIE BLVD,Yes
2306466,2023-07-08,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,4927 THUNDERBIRD CIR,Yes
2306311,2023-07-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2005 VASSAR DR,Yes
2306214,2023-07-01,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,480 KALMIA AVE,Yes
2306185,2023-06-30,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,830 20TH ST,Yes
2306131,2023-06-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1680 LINDEN AVE,Yes
2306132,2023-06-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1205 DREXEL ST,Yes
2305897,2023-06-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,910 PORTLAND PL,
2305845,2023-06-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5000 BUTTE ST,Yes
W56084,2023-06-21,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2920 GLENWOOD DR,Yes
2305797,2023-06-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1440 NORWOOD AVE,Yes
2305687,2023-06-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2010 4TH ST,Yes
2305648,2023-06-15,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4810 MEREDITH WAY,Yes
2305547,2023-06-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4139 LONETREE CT,Yes
2305490,2023-06-11,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5000 BUTTE ST,Yes
2305434,2023-06-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3201 BROADWAY,Yes
2305189,2023-06-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,890 WAITE DR,Yes
2305187,2023-06-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1656 NORTH ST,Yes
2305151,2023-06-01,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3310 CRIPPLE CREEK TRL,Yes
2305164,2023-05-28,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,4550 BROADWAY,Yes
2304739,2023-05-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,780 36TH ST,Yes
2304722,2023-05-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3057 KINGS RIDGE BLVD,Yes
2304596,2023-05-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2037 WALNUT ST,Yes
2304515,2023-05-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4645 PAWNEE PL,Yes
2304502,2023-05-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1119 UTICA AVE,Yes
2304497,2023-05-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3398 MOORHEAD AVE,Yes
2304446,2023-05-12,Section: 5-9-6(1),UNREASONABLE NOISE 11 P.M. THROUGH 7 A.M,1101 UNIVERSITY AVE,Yes
2304296,2023-05-08,Section: 5-9-6(1),UNREASONABLE NOISE 11 P.M. THROUGH 7 A.M,1021 12TH ST,Yes
2304275,2023-05-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2725 28TH ST,Yes
2304065,2023-05-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1527 SUMAC AVE,Yes
2303980,2023-04-30,Section: 5-9-6(1),UNREASONABLE NOISE 11 P.M. THROUGH 7 A.M,1131 11TH ST,Yes
